title,address,price,bedrooms,bathrooms,area,area_lot
,"520 S Barrington Ave Unit 101, Los Angeles, CA 90049","$949,000",2 bed,3 bath,"1,278 sqft",0.51 acre lot
,"8738 Delgany Ave Apt 104, Playa Del Rey, CA 90293","$589,900",1 bed,1 bath,871 sqft,0.36 acre lot
,"12411 Osborne St Unit 5, Pacoima, CA 91331","$379,000",2 bed,3 bath,"1,107 sqft",3.49 acre lot
,"19547 Rinaldi St Unit 34, Porter Ranch, CA 91326","$560,000",3 bed,2.5 bath,"1,520 sqft",7.76 acre lot
,"9800 Vesper Ave Unit 145, Panorama City, CA 91402","$399,900",3 bed,1.5 bath,"1,209 sqft",3.87 acre lot
,"13540 Hubbard St Unit 20, Sylmar, CA 91342","$359,900",2 bed,2 bath,"1,221 sqft",1.97 acre lot
,"2248 S Hobart Blvd, Los Angeles, CA 90018","$950,000",4 bed,1 bath,"2,800 sqft","8,481 sqft lot"
,"3137 Fairmount St, Los Angeles, CA 90063","$600,000",3 bed,1 bath,976 sqft,"5,263 sqft lot"
,"7527 Carmenita Ln, West Hills, CA 91304","$1,085,000",4 bed,3 bath,"2,347 sqft",0.26 acre lot
,"5710 Ranchito Ave, Valley Glen, CA 91401","$1,025,000",3 bed,2 bath,"2,224 sqft","8,102 sqft lot"
,"5518 Riverton Ave, North Hollywood, CA 91601","$699,000",2 bed,1 bath,"1,050 sqft","5,857 sqft lot"
,"7233 Wilbur Ave, Reseda, CA 91335","$589,950",3 bed,1.5 bath,"1,080 sqft","5,412 sqft lot"
,"24545 Calvert St, Woodland Hills, CA 91367","$1,049,000",4 bed,3 bath,"2,418 sqft",0.45 acre lot
,"10535 Cedros Ave, Mission Hills, CA 91345","$649,900",4 bed,2 bath,"1,550 sqft","6,666 sqft lot"
,"10900 Woodley Ave, Granada Hills, CA 91344","$650,000",4 bed,2 bath,"1,740 sqft","5,338 sqft lot"
,"1105 S Shenandoah St, Los Angeles, CA 90035","$1,595,000",2 bed,2.5 bath,"1,505 sqft","4,012 sqft lot"
,"10760 Woodley Ave Unit 1, Granada Hills, CA 91344","$415,000",2 bed,1 bath,966 sqft,3.64 acre lot
,"1150 W Kensington Rd, Los Angeles, CA 90026","$1,095,000",3 bed,2 bath,"1,248 sqft",0.3 acre lot
,"1330 Sanford Ave, Wilmington, CA 90744","$580,000",4 bed,2 bath,"1,633 sqft","5,329 sqft lot"
,"17512 Hamlin St, Lake Balboa, CA 91406","$675,000",3 bed,1 bath,"1,121 sqft","6,432 sqft lot"
,"11517 Baird Ave, Porter Ranch, CA 91326","$849,995",3 bed,2 bath,"1,679 sqft","8,035 sqft lot"
,"13031 Villosa Pl Apt 105, Playa Vista, CA 90094","$1,095,000",2 bed,2.5 bath,"1,560 sqft",2.48 acre lot
,"6300 Drexel Ave, Los Angeles, CA 90048","$2,149,000",3 bed,3 bath,"2,424 sqft","6,026 sqft lot"
,"7011 Ponce Ave, West Hills, CA 91307","$779,000",4 bed,2.5 bath,"1,490 sqft","7,841 sqft lot"
,"5861 Levi Ln, Sherman Oaks, CA 91401","$799,999",4 bed,2.5 bath,"1,574 sqft","1,897 sqft lot"
,"8472 Oakwood Ave, Los Angeles, CA 90048","$1,900,000",4 bed,4 bath,"1,946 sqft","3,428 sqft lot"
,"15210 Greenleaf St, Sherman Oaks, CA 91403","$3,595,000",5 bed,5 bath,"4,514 sqft",0.49 acre lot
,"7843 Babcock Ave, North Hollywood, CA 91605","$829,900",3 bed,2 bath,"1,305 sqft","5,036 sqft lot"
,"2481 Walgrove Ave, Los Angeles, CA 90066","$1,795,000",6 bed,4 bath,"3,500 sqft","5,198 sqft lot"
,"1475 Westerly Ter, Silver Lake, CA 90026","$1,150,000",5 bed,2 bath,"2,026 sqft","4,600 sqft lot"
,"11430 Palms Blvd, Los Angeles, CA 90066","$1,788,000",4 bed,3 bath,"2,432 sqft","5,929 sqft lot"
,"12526 Rubens Ave, Los Angeles, CA 90066","$2,600,000",4 bed,3 bath,"3,003 sqft","5,001 sqft lot"
,"11312 Belhaven St, Los Angeles, CA 90059","$485,000",3 bed,2 bath,"1,389 sqft","3,796 sqft lot"
,"2533 Obama Blvd, Los Angeles, CA 90018","$599,000",6 bed,2 bath,873 sqft,"4,478 sqft lot"
,"1018 E Mauretania St, Wilmington, CA 90744","$489,000",3 bed,2 bath,"1,434 sqft","4,806 sqft lot"
,"13030 Valleyheart Dr Apt 103, Studio City, CA 91604","$674,900",2 bed,2.5 bath,"1,260 sqft",0.66 acre lot
,"9936 Reseda Blvd Unit 42, Northridge, CA 91324","$539,900",3 bed,2.5 bath,"1,782 sqft",
,"11228 Kewen Ave, San Fernando, CA 91340","$449,950",2 bed,1 bath,725 sqft,"5,661 sqft lot"
,"9310 S Western Ave, Los Angeles, CA 90047","$468,500",,,"1,107 sqft","3,000 sqft lot"
,"629 Rosemont Ave, Los Angeles, CA 90026","$849,000",3 bed,2 bath,"1,390 sqft","5,602 sqft lot"
,"10437 Ormond St, Shadow Hills, CA 91040","$1,445,000",5 bed,3.5 bath,"4,288 sqft",0.41 acre lot
,"2030 N Vermont Ave Apt 7, Los Angeles, CA 90027","$679,000",2 bed,1 bath,"1,216 sqft",0.44 acre lot
,"22306 Saticoy St, Canoga Park, CA 91303","$615,000",4 bed,2 bath,"1,153 sqft","8,760 sqft lot"
,"8516 Tujunga Valley St, Sunland, CA 91040","$695,000",3 bed,2.5 bath,"1,340 sqft","5,227 sqft lot"
,"8807 Stansbury Ave, Panorama City, CA 91402","$599,000",3 bed,2 bath,"1,497 sqft","6,206 sqft lot"
,"16513 Kingsbury St, Granada Hills, CA 91344","$675,000",3 bed,2 bath,"1,850 sqft","7,139 sqft lot"
,"11148 Sheldon St, Sun Valley, CA 91352","$689,000",3 bed,2 bath,"1,261 sqft","6,941 sqft lot"
,"5022 Oakbury Ct, Valley Village, CA 91607","$2,850,000",6 bed,5.5 bath,"4,550 sqft","9,439 sqft lot"
,"6118 Lindenhurst Ave, Los Angeles, CA 90048","$1,599,000",4 bed,3 bath,"2,848 sqft","6,177 sqft lot"
,"412 W Avenue 45, Los Angeles, CA 90065","$899,000",2 bed,1 bath,988 sqft,"4,077 sqft lot"
,"19731 Labrador St, Chatsworth, CA 91311","$789,950",3 bed,2 bath,"1,894 sqft","6,985 sqft lot"
,"6222 Altura Ave, La Crescenta, CA 91214","$798,000",3 bed,2 bath,"1,731 sqft","7,535 sqft lot"
,"9809 Shoup Ave, Chatsworth, CA 91311","$1,349,000",5 bed,6 bath,"3,150 sqft",0.32 acre lot
,"7401 Tunney Ave, Reseda, CA 91335","$799,999",4 bed,3 bath,"2,090 sqft","5,137 sqft lot"
,"5637 Keokuk Ave, Woodland Hills, CA 91367","$825,000",5 bed,3 bath,"2,557 sqft",0.26 acre lot
,"13130 Montague St, Arleta, CA 91331","$719,900",,,"2,180 sqft","7,483 sqft lot"
,"3447 Primera Ave, Los Angeles, CA 90068","$1,475,000",3 bed,3 bath,"1,940 sqft","5,836 sqft lot"
,"7391 Westcliff Dr, West Hills, CA 91307","$1,349,000",5 bed,4.5 bath,"3,393 sqft",0.39 acre lot
,"5229 W 2nd St, Los Angeles, CA 90004","$5,800,000",7 bed,6 bath,"6,275 sqft",0.26 acre lot
,"10550 Monogram Ave, Granada Hills, CA 91344","$689,000",3 bed,2 bath,"1,633 sqft","7,501 sqft lot"
,"801 S Grand Ave Apt 1611, Los Angeles, CA 90017","$980,000",2 bed,2 bath,"1,580 sqft",1.35 acre lot
,"19400 Wyandotte St Unit 2, Reseda, CA 91335","$349,000",2 bed,2 bath,892 sqft,
,"2712 S Palm Grove Ave, Los Angeles, CA 90016","$800,000",3 bed,2 bath,808 sqft,"5,205 sqft lot"
,"5130 W 20th St, Los Angeles, CA 90016","$899,000",2 bed,2.5 bath,"1,092 sqft","2,566 sqft lot"
,"1630 S Sierra Bonita Ave, Los Angeles, CA 90019","$1,338,000",3 bed,2 bath,"1,908 sqft","5,596 sqft lot"
,"1712 Abbot Kinney Blvd Units 1 & 2, Venice, CA 90291","$2,495,000",2 bed,2.5 bath,"2,620 sqft","3,001 sqft lot"
,"5227 Allott Ave, Sherman Oaks, CA 91401","$1,549,000",4 bed,3.5 bath,"2,382 sqft","6,500 sqft lot"
,"9476 Hidden Valley Pl, Beverly Hills, CA 90210","$1,970,000",4 bed,2 bath,"2,388 sqft",0.26 acre lot
,"14216 Nordhoff St, Panorama City, CA 91402","$875,000",3 bed,1 bath,"1,390 sqft",0.5 acre lot
,"23954 Crosson Dr, Woodland Hills, CA 91367","$1,199,000",5 bed,4 bath,"3,031 sqft",0.26 acre lot
,"3213 Rosewood Ave, Los Angeles, CA 90066","$3,400,000",5 bed,5.5 bath,"3,550 sqft","6,595 sqft lot"
,"2547 Aberdeen Ave, Los Angeles, CA 90027","$3,200,000",5 bed,4 bath,"3,688 sqft",0.25 acre lot
,"3205 Shelby Dr, Los Angeles, CA 90034","$2,899,000",4 bed,3 bath,"3,115 sqft",0.23 acre lot
,"11805 Henley Ln, Los Angeles, CA 90077","$3,699,000",4 bed,4.5 bath,"4,996 sqft","9,552 sqft lot"
